entry_id,contest_id,contest_name,entry_fee,P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"3672245601","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3672245602","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3672245604","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3672245607","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","","4) You can not use this form to create new entries"
"3672245609","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","",""
"3672245611","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"3672245693","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-82635:MacKenzie Gore,127566-82635,P,MacKenzie,MacKenzie Gore,Gore,29.933333333333334,30,8600,TEX@PHI,TEX,PHI,,,,,,P
"3672245695","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-102294:Grayson Rodriguez,127566-102294,P,Grayson,Grayson Rodriguez,Rodriguez,35.6,20,8600,LAA@HOU,LAA,HOU,IL,Shoulder,,,,P
"3672245697","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-102344:Brady Singer,127566-102344,P,Brady,Brady Singer,Singer,28.65625,32,8600,BOS@CIN,CIN,BOS,,,,,,P
"3672245698","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-101810:Justin Steele,127566-101810,P,Justin,Justin Steele,Steele,29.25,4,8500,WSH@CHC,CHC,WSH,IL,Elbow,,,,P
"3672245700","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-165512:Andrew Abbott,127566-165512,P,Andrew,Andrew Abbott,Abbott,30.724137931034484,29,8500,BOS@CIN,CIN,BOS,,,,Yes,,P
"3672245702","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-68523:Joe Musgrove,127566-68523,P,Joe,Joe Musgrove,Musgrove,28.45,20,8400,DET@SD,SD,DET,IL,Elbow,,,,P
"3672245704","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-165706:Jack Leiter,127566-165706,P,Jack,Jack Leiter,Leiter,27.724137931034484,30,8400,TEX@PHI,TEX,PHI,,,,,,P
"3672245706","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-182153:Kodai Senga,127566-182153,P,Kodai,Kodai Senga,Senga,28.136363636363637,22,8400,PIT@NYM,NYM,PIT,,,,,,P
"3672245707","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-117232:Michael King,127566-117232,P,Michael,Michael King,King,25.875,16,8300,DET@SD,SD,DET,,,,,,P
"3672245710","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-82599:Edward Cabrera,127566-82599,P,Edward,Edward Cabrera,Cabrera,29.884615384615383,26,8300,WSH@CHC,CHC,WSH,,,,,,P
"3672245712","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-82630:Shane Baz,127566-82630,P,Shane,Shane Baz,Baz,27.774193548387096,31,8300,MIN@BAL,BAL,MIN,,,,,,P
"3672245715","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-79217:Mitch Keller,127566-79217,P,Mitch,Mitch Keller,Keller,26.15625,32,8300,PIT@NYM,PIT,NYM,,,,,,P
"3672245718","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-198876:Cade Horton,127566-198876,P,Cade,Cade Horton,Horton,27.217391304347824,23,8200,WSH@CHC,CHC,WSH,,,,,,P
"3672245720","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-82618:David Peterson,127566-82618,P,David,David Peterson,Peterson,27.766666666666666,30,8200,PIT@NYM,NYM,PIT,,,,,,P
"3672245721","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-85253:Casey Mize,127566-85253,P,Casey,Casey Mize,Mize,27.5,30,8200,DET@SD,DET,SD,,,,,,P
"3672245723","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-146725:Jared Jones,127566-146725,P,Jared,Jared Jones,Jones,30.59090909090909,22,8200,PIT@NYM,PIT,NYM,IL,Elbow,,,,P
"3672245728","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-222782:Chase Burns,127566-222782,P,Chase,Chase Burns,Burns,20.071428571428573,14,8200,BOS@CIN,CIN,BOS,,,,,,P
"3672245730","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-63136:Matthew Boyd,127566-63136,P,Matthew,Matthew Boyd,Boyd,29.647058823529413,34,8200,WSH@CHC,CHC,WSH,,,,Yes,,P
"3672245732","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-53067:Chris Bassitt,127566-53067,P,Chris,Chris Bassitt,Bassitt,24.28205128205128,39,8200,MIN@BAL,BAL,MIN,,,,,,P
"3672245734","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-163680:Brayan Bello,127566-163680,P,Brayan,Brayan Bello,Bello,27.233333333333334,30,8200,BOS@CIN,BOS,CIN,,,,,,P
"3672245746","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-102458:Kutter Crawford,127566-102458,P,Kutter,Kutter Crawford,Crawford,27.96969696969697,33,8100,BOS@CIN,BOS,CIN,IL,Wrist,,,,P
"3672245749","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-79246:Jack Flaherty,127566-79246,P,Jack,Jack Flaherty,Flaherty,27.647058823529413,34,8100,DET@SD,DET,SD,,,,,,P
"3672245750","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-102345:Jose Soriano,127566-102345,P,Jose,Jose Soriano,Soriano,27.193548387096776,31,8100,LAA@HOU,LAA,HOU,,,,Yes,,P
"3672245752","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-145922:Tyler Wells,127566-145922,P,Tyler,Tyler Wells,Wells,29.5,4,8000,MIN@BAL,BAL,MIN,,,,,,P
"3672245755","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-219653:Logan Henderson,127566-219653,P,Logan,Logan Henderson,Henderson,36.4,5,8000,CWS@MIL,MIL,CWS,,,,,,P
"3672245756","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-16961:Jameson Taillon,127566-16961,P,Jameson,Jameson Taillon,Taillon,27.4,25,8000,WSH@CHC,CHC,WSH,,,,,,P
"3672245758","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-164521:Brandon Walter,127566-164521,P,Brandon,Brandon Walter,Walter,31.88888888888889,9,8000,LAA@HOU,HOU,LAA,IL,Elbow,,,,P
"3672245761","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-168872:Ronel Blanco,127566-168872,P,Ronel,Ronel Blanco,Blanco,28.555555555555557,9,8000,LAA@HOU,HOU,LAA,IL,Elbow,,,,P
"3672245764","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-83152:Pablo Lopez,127566-83152,P,Pablo,Pablo Lopez,Lopez,30.214285714285715,14,8000,MIN@BAL,MIN,BAL,IL,Elbow,,,,P
"3672245766","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-232769:Connelly Early,127566-232769,P,Connelly,Connelly Early,Early,31.2,5,8000,BOS@CIN,BOS,CIN,,,,,,P
"3672245768","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-102001:Yusei Kikuchi,127566-102001,P,Yusei,Yusei Kikuchi,Kikuchi,27.454545454545453,33,8000,LAA@HOU,LAA,HOU,,,,,,P
"3672245770","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-198702:Shota Imanaga,127566-198702,P,Shota,Shota Imanaga,Imanaga,26.925925925925927,27,7800,WSH@CHC,CHC,WSH,,,,,,P
"3672245771","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-119409:Quinn Priester,127566-119409,P,Quinn,Quinn Priester,Priester,26.322580645161292,31,7800,CWS@MIL,MIL,CWS,IL,Wrist,,,,P
"3672245773","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-165655:Bubba Chandler,127566-165655,P,Bubba,Bubba Chandler,Chandler,24.714285714285715,7,7800,PIT@NYM,PIT,NYM,,,,,,P
"3672245775","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-68482:Zach Eflin,127566-68482,P,Zach,Zach Eflin,Eflin,20.214285714285715,14,7700,MIN@BAL,BAL,MIN,,,,,,P
"3672245776","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-60647:Aaron Nola,127566-60647,P,Aaron,Aaron Nola,Nola,25.22222222222222,18,7700,TEX@PHI,PHI,TEX,,,,,,P
"3672245779","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-79232:Clay Holmes,127566-79232,P,Clay,Clay Holmes,Holmes,24.03030303030303,33,7700,PIT@NYM,NYM,PIT,,,,,,P
"3672245781","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-119426:Johan Oviedo,127566-119426,P,Johan,Johan Oviedo,Oviedo,23.444444444444443,9,7600,BOS@CIN,BOS,CIN,,,,,,P
"3672245783","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-5202:Justin Verlander,127566-5202,P,Justin,Justin Verlander,Verlander,25.448275862068964,29,7600,DET@SD,DET,SD,,,,,,P
"3672245784","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-220840:Shane Smith,127566-220840,P,Shane,Shane Smith,Smith,26.137931034482758,29,7600,CWS@MIL,CWS,MIL,,,,Yes,,P
"3672245795","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-102447:Dean Kremer,127566-102447,P,Dean,Dean Kremer,Kremer,25.903225806451612,31,7500,MIN@BAL,BAL,MIN,,,,,,P
"3672245797","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-145612:Bailey Ober,127566-145612,P,Bailey,Bailey Ober,Ober,22.88888888888889,27,7500,MIN@BAL,MIN,BAL,,,,,,P
"3672245799","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-198879:Rhett Lowder,127566-198879,P,Rhett,Rhett Lowder,Lowder,27,6,7500,BOS@CIN,CIN,BOS,,,,,,P
"3672245801","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-170315:Davis Martin,127566-170315,P,Davis,Davis Martin,Martin,23.96153846153846,26,7500,CWS@MIL,CWS,MIL,,,,,0,P
"3672245803","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-219663:Chad Patrick,127566-219663,P,Chad,Chad Patrick,Patrick,20.939393939393938,33,7500,CWS@MIL,MIL,CWS,,,,,,P
"3672245806","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-240672:Tatsuya Imai,127566-240672,P,Tatsuya,Tatsuya Imai,Imai,,0,7500,LAA@HOU,HOU,LAA,,,,,,P
"3672245808","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-83166:Zack Littell,127566-83166,P,Zack,Zack Littell,Littell,25.696969696969695,33,7500,WSH@CHC,WSH,CHC,,,,,,P
"3672245811","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-165698:Taj Bradley,127566-165698,P,Taj,Taj Bradley,Bradley,24.333333333333332,27,7500,MIN@BAL,MIN,BAL,,,,,,P
"3672245813","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-102528:Simeon Woods Richardson,127566-102528,P,Simeon,Simeon Woods Richardson,Woods Richardson,24.304347826086957,23,7400,MIN@BAL,MIN,BAL,,,,,,P
"3672245815","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-119361:Drew Rasmussen,127566-119361,P,Drew,Drew Rasmussen,Rasmussen,25.322580645161292,31,7400,TB@STL,TB,STL,,,,Yes,,P
"3672245817","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-165694:Michael McGreevy,127566-165694,P,Michael,Michael McGreevy,McGreevy,23.11764705882353,17,7400,TB@STL,STL,TB,,,,,,P
"3672245820","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-102335:Cristian Javier,127566-102335,P,Cristian,Cristian Javier,Javier,22,8,7400,LAA@HOU,HOU,LAA,,,,,,P
"3672245821","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-102408:Matthew Liberatore,127566-102408,P,Matthew,Matthew Liberatore,Liberatore,24.137931034482758,29,7300,TB@STL,STL,TB,,,,Yes,,P
"3672245823","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-198885:Spencer Arrighetti,127566-198885,P,Spencer,Spencer Arrighetti,Arrighetti,21.428571428571427,7,7300,LAA@HOU,HOU,LAA,,,,,,P
"3672245825","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-82594:Dustin May,127566-82594,P,Dustin,Dustin May,May,25.16,25,7300,TB@STL,STL,TB,,,,,,P
"3672245827","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-165543:Sean Burke,127566-165543,P,Sean,Sean Burke,Burke,23.464285714285715,28,7300,CWS@MIL,CWS,MIL,,,,,0,P
"3672245828","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-163685:JP Sears,127566-163685,P,JP,JP Sears,Sears,22.51851851851852,27,7300,DET@SD,SD,DET,,,,,,P
"3672245832","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-209173:Zebby Matthews,127566-209173,P,Zebby,Zebby Matthews,Matthews,25.0625,16,7200,MIN@BAL,MIN,BAL,,,,,,P
"3672245834","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-119441:Alek Manoah,127566-119441,P,Alek,Alek Manoah,Manoah,27,6,7200,LAA@HOU,LAA,HOU,IL,Finger,,,,P
"3672245836","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-82582:Griffin Canning,127566-82582,P,Griffin,Griffin Canning,Canning,24.8125,16,7200,DET@SD,SD,DET,IL,Achilles,,,,P
"3672245841","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-232240:Payton Tolle,127566-232240,P,Payton,Payton Tolle,Tolle,9.25,8,7200,BOS@CIN,BOS,CIN,,,,,,P
"3672245842","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-211874:Kumar Rocker,127566-211874,P,Kumar,Kumar Rocker,Rocker,19.571428571428573,14,7200,TEX@PHI,TEX,PHI,,,,,,P
"3672245844","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-52159:Lance McCullers Jr.,127566-52159,P,Lance,Lance McCullers Jr.,McCullers Jr.,16.666666666666668,16,7200,LAA@HOU,HOU,LAA,,,,,,P
"3672245849","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-52165:Sean Manaea,127566-52165,P,Sean,Sean Manaea,Manaea,20.333333333333332,15,7200,PIT@NYM,NYM,PIT,,,,,,P
"3672245852","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-64488:Colin Rea,127566-64488,P,Colin,Colin Rea,Rea,22.057142857142857,35,7200,WSH@CHC,CHC,WSH,,,,,,P
"3672245853","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-79228:Cal Quantrill,127566-79228,P,Cal,Cal Quantrill,Quantrill,15.346153846153847,26,7200,TEX@PHI,TEX,PHI,,,,,,P
"3672245855","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-222822:Brandon Sproat,127566-222822,P,Brandon,Brandon Sproat,Sproat,22,4,7200,CWS@MIL,MIL,CWS,,,,,,P
"3672245858","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-170527:Jason Alexander,127566-170527,P,Jason,Jason Alexander,Alexander,19.333333333333332,18,7100,LAA@HOU,HOU,LAA,,,,,,P
"3672245859","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-165659:Mike Burrows,127566-165659,P,Mike,Mike Burrows,Burrows,20.565217391304348,23,7100,LAA@HOU,HOU,LAA,,,,,,P
"3672245861","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-102387:Braxton Ashcraft,127566-102387,P,Braxton,Braxton Ashcraft,Ashcraft,14.73076923076923,26,7100,PIT@NYM,PIT,NYM,,,,,,P
"3672245863","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-135221:Cade Cavalli,127566-135221,P,Cade,Cade Cavalli,Cavalli,22.3,10,7000,WSH@CHC,WSH,CHC,,,,Yes,,P
"3672245866","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-135229:Reid Detmers,127566-135229,P,Reid,Reid Detmers,Detmers,6.389830508474576,61,7000,LAA@HOU,LAA,HOU,,,,,,P
"3672245867","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-102498:Patrick Sandoval,127566-102498,P,Patrick,Patrick Sandoval,Sandoval,23.4375,16,7000,BOS@CIN,BOS,CIN,IL,Elbow,,,,P
"3672245870","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-164532:DJ Herz,127566-164532,P,DJ,DJ Herz,Herz,25.94736842105263,19,7000,WSH@CHC,WSH,CHC,IL,Elbow,,,,P
